generator,split,concept,n,mean,std,median,q25,q75
VQDM,ai,jpeg_quant,1000,0.23676037788391113,0.08388438820838928,0.20815257728099823,0.17651191353797913,0.28249426931142807
VQDM,ai,texture_geometry,1000,0.38374897837638855,0.1424454301595688,0.32578548789024353,0.2813604548573494,0.44366761296987534
VQDM,real,bitplane_lsb,1000,0.14742569625377655,0.09331180900335312,0.1241316944360733,0.1114063523709774,0.13794900476932526
VQDM,real,freq_radial,1000,0.25309836864471436,0.07421354204416275,0.24850723147392273,0.19869739562273026,0.30021239072084427
VQDM,real,color_manifold,1000,0.25361743569374084,0.11592136323451996,0.22241704165935516,0.17176327109336853,0.2997058480978012
VQDM,real,hf_noise,1000,0.3084779977798462,0.19804102182388306,0.23882102966308594,0.1644068956375122,0.3892712891101837
VQDM,real,jpeg_quant,1000,0.7170206308364868,0.14658337831497192,0.7042614221572876,0.6043149083852768,0.8325074315071106
VQDM,real,texture_geometry,1000,0.31709614396095276,0.14549313485622406,0.2907221019268036,0.21254243329167366,0.40487776696681976
Wukong,all,bitplane_lsb,2000,0.2113800048828125,0.09871016442775726,0.2349981665611267,0.12416704185307026,0.267542764544487
Wukong,all,freq_radial,2000,0.3963782489299774,0.16550971567630768,0.3790245056152344,0.24842266365885735,0.5472190529108047
Wukong,all,color_manifold,2000,0.3277982473373413,0.12529507279396057,0.33186453580856323,0.2217537723481655,0.4073330983519554
Wukong,all,hf_noise,2000,0.3588052988052368,0.19840140640735626,0.30035755038261414,0.21722165495157242,0.4539818912744522
Wukong,all,jpeg_quant,2000,0.5240834951400757,0.22716964781284332,0.47199153900146484,0.3267873078584671,0.704280897974968
Wukong,all,texture_geometry,2000,0.42617160081863403,0.18214008212089539,0.41429445147514343,0.2840952053666115,0.5579757243394852
Wukong,ai,bitplane_lsb,1000,0.27533435821533203,0.050989970564842224,0.26398831605911255,0.25019584596157074,0.28615503013134
Wukong,ai,freq_radial,1000,0.5396580696105957,0.09067004173994064,0.5472373962402344,0.4838578328490257,0.6070888638496399
Wukong,ai,color_manifold,1000,0.4019790589809418,0.08339308947324753,0.38883084058761597,0.3426832854747772,0.4492626488208771
Wukong,ai,hf_noise,1000,0.4091325104236603,0.18558093905448914,0.3473830223083496,0.2699117958545685,0.49095457792282104
Wukong,ai,jpeg_quant,1000,0.33114632964134216,0.0852990597486496,0.32677581906318665,0.26740381866693497,0.3914474844932556
Wukong,ai,texture_geometry,1000,0.5352470874786377,0.14624249935150146,0.5250159502029419,0.4229590594768524,0.639243483543396
Wukong,real,bitplane_lsb,1000,0.14742568135261536,0.0933118611574173,0.1241316944360733,0.1114063523709774,0.13794900476932526
Wukong,real,freq_radial,1000,0.25309836864471436,0.07421354204416275,0.24850723147392273,0.19869739562273026,0.30021239072084427
Wukong,real,color_manifold,1000,0.25361743569374084,0.11592119187116623,0.22241704165935516,0.17176327109336853,0.2997058480978012
Wukong,real,hf_noise,1000,0.30847805738449097,0.1980411559343338,0.23882102966308594,0.1644068956375122,0.3892712891101837
Wukong,real,jpeg_quant,1000,0.7170206308364868,0.14658339321613312,0.7042614221572876,0.6043149083852768,0.8325074315071106
Wukong,real,texture_geometry,1000,0.31709614396095276,0.14549309015274048,0.2907221019268036,0.21254243329167366,0.40487776696681976
