source,seed,family,subset_size,channels,imputation,direction,generator,n,metric,value,baseline_acc,acc,delta_pp,effect_pp,auc,real_acc,fake_acc,protocol,claim_scope,notes
Results\full_inference_dump.npz,42,drop,3,bitplane_lsb+hf_noise+texture_geometry,zero,,__ALL__,14000,accuracy,0.801571,0.9975,0.801571,-19.592857,-19.592857,0.999598,1.0,0.603143,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,keep_only,3,bitplane_lsb+hf_noise+texture_geometry,zero_elsewhere,,ADM,2000,accuracy,0.79,0.999,0.79,-20.9,-20.9,0.843948,0.7,0.88,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,keep_only,3,bitplane_lsb+hf_noise+texture_geometry,zero_elsewhere,,BigGAN,2000,accuracy,0.6515,0.998,0.6515,-34.65,-34.65,0.73479,0.71,0.593,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,keep_only,3,bitplane_lsb+hf_noise+texture_geometry,zero_elsewhere,,GLIDE,2000,accuracy,0.7645,0.998,0.7645,-23.35,-23.35,0.858744,0.684,0.845,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,keep_only,3,bitplane_lsb+hf_noise+texture_geometry,zero_elsewhere,,Midjourney,2000,accuracy,0.839,0.997,0.839,-15.8,-15.8,0.894272,0.73,0.948,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,keep_only,3,bitplane_lsb+hf_noise+texture_geometry,zero_elsewhere,,Stable_Diffusion_v1.4,2000,accuracy,0.7915,0.9985,0.7915,-20.7,-20.7,0.868982,0.682,0.901,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,keep_only,3,bitplane_lsb+hf_noise+texture_geometry,zero_elsewhere,,VQDM,2000,accuracy,0.5765,0.9975,0.5765,-42.1,-42.1,0.703253,0.684,0.469,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,keep_only,3,bitplane_lsb+hf_noise+texture_geometry,zero_elsewhere,,Wukong,2000,accuracy,0.8095,0.9945,0.8095,-18.5,-18.5,0.888114,0.684,0.935,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,keep_only,3,bitplane_lsb+hf_noise+texture_geometry,zero_elsewhere,,__ALL__,14000,accuracy,0.746071,0.9975,0.746071,-25.142857,-25.142857,0.827678,0.696286,0.795857,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,drop,3,bitplane_lsb+jpeg_quant+texture_geometry,zero,,ADM,2000,accuracy,0.7175,0.999,0.7175,-28.15,-28.15,0.997762,0.435,1.0,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,drop,3,bitplane_lsb+jpeg_quant+texture_geometry,zero,,BigGAN,2000,accuracy,0.7355,0.998,0.7355,-26.25,-26.25,0.998978,0.471,1.0,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,drop,3,bitplane_lsb+jpeg_quant+texture_geometry,zero,,GLIDE,2000,accuracy,0.733,0.998,0.733,-26.5,-26.5,0.99999,0.466,1.0,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,drop,3,bitplane_lsb+jpeg_quant+texture_geometry,zero,,Midjourney,2000,accuracy,0.7245,0.997,0.7245,-27.25,-27.25,0.99507,0.451,0.998,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,drop,3,bitplane_lsb+jpeg_quant+texture_geometry,zero,,Stable_Diffusion_v1.4,2000,accuracy,0.732,0.9985,0.732,-26.65,-26.65,0.999493,0.464,1.0,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,drop,3,bitplane_lsb+jpeg_quant+texture_geometry,zero,,VQDM,2000,accuracy,0.733,0.9975,0.733,-26.45,-26.45,0.999572,0.466,1.0,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,drop,3,bitplane_lsb+jpeg_quant+texture_geometry,zero,,Wukong,2000,accuracy,0.733,0.9945,0.733,-26.15,-26.15,0.998503,0.466,1.0,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,drop,3,bitplane_lsb+jpeg_quant+texture_geometry,zero,,__ALL__,14000,accuracy,0.729786,0.9975,0.729786,-26.771429,-26.771429,0.998592,0.459857,0.999714,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,keep_only,3,bitplane_lsb+jpeg_quant+texture_geometry,zero_elsewhere,,ADM,2000,accuracy,0.506,0.999,0.506,-49.3,-49.3,0.999991,1.0,0.012,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,keep_only,3,bitplane_lsb+jpeg_quant+texture_geometry,zero_elsewhere,,BigGAN,2000,accuracy,0.5035,0.998,0.5035,-49.45,-49.45,0.999964,1.0,0.007,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,keep_only,3,bitplane_lsb+jpeg_quant+texture_geometry,zero_elsewhere,,GLIDE,2000,accuracy,0.5955,0.998,0.5955,-40.25,-40.25,1.0,1.0,0.191,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,keep_only,3,bitplane_lsb+jpeg_quant+texture_geometry,zero_elsewhere,,Midjourney,2000,accuracy,0.515,0.997,0.515,-48.2,-48.2,0.999335,1.0,0.03,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,keep_only,3,bitplane_lsb+jpeg_quant+texture_geometry,zero_elsewhere,,Stable_Diffusion_v1.4,2000,accuracy,0.5,0.9985,0.5,-49.85,-49.85,0.999976,1.0,0.0,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,keep_only,3,bitplane_lsb+jpeg_quant+texture_geometry,zero_elsewhere,,VQDM,2000,accuracy,0.5,0.9975,0.5,-49.75,-49.75,0.999973,1.0,0.0,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,keep_only,3,bitplane_lsb+jpeg_quant+texture_geometry,zero_elsewhere,,Wukong,2000,accuracy,0.5,0.9945,0.5,-49.45,-49.45,0.999182,1.0,0.0,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,keep_only,3,bitplane_lsb+jpeg_quant+texture_geometry,zero_elsewhere,,__ALL__,14000,accuracy,0.517143,0.9975,0.517143,-48.035714,-48.035714,0.999779,1.0,0.034286,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,drop,3,freq_radial+color_manifold+hf_noise,zero,,ADM,2000,accuracy,0.506,0.999,0.506,-49.3,-49.3,0.999991,1.0,0.012,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,drop,3,freq_radial+color_manifold+hf_noise,zero,,BigGAN,2000,accuracy,0.5035,0.998,0.5035,-49.45,-49.45,0.999964,1.0,0.007,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,drop,3,freq_radial+color_manifold+hf_noise,zero,,GLIDE,2000,accuracy,0.5955,0.998,0.5955,-40.25,-40.25,1.0,1.0,0.191,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,drop,3,freq_radial+color_manifold+hf_noise,zero,,Midjourney,2000,accuracy,0.515,0.997,0.515,-48.2,-48.2,0.999335,1.0,0.03,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,drop,3,freq_radial+color_manifold+hf_noise,zero,,Stable_Diffusion_v1.4,2000,accuracy,0.5,0.9985,0.5,-49.85,-49.85,0.999976,1.0,0.0,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,drop,3,freq_radial+color_manifold+hf_noise,zero,,VQDM,2000,accuracy,0.5,0.9975,0.5,-49.75,-49.75,0.999973,1.0,0.0,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,drop,3,freq_radial+color_manifold+hf_noise,zero,,Wukong,2000,accuracy,0.5,0.9945,0.5,-49.45,-49.45,0.999182,1.0,0.0,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,drop,3,freq_radial+color_manifold+hf_noise,zero,,__ALL__,14000,accuracy,0.517143,0.9975,0.517143,-48.035714,-48.035714,0.999779,1.0,0.034286,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,keep_only,3,freq_radial+color_manifold+hf_noise,zero_elsewhere,,ADM,2000,accuracy,0.7175,0.999,0.7175,-28.15,-28.15,0.997762,0.435,1.0,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,keep_only,3,freq_radial+color_manifold+hf_noise,zero_elsewhere,,BigGAN,2000,accuracy,0.7355,0.998,0.7355,-26.25,-26.25,0.998978,0.471,1.0,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,keep_only,3,freq_radial+color_manifold+hf_noise,zero_elsewhere,,GLIDE,2000,accuracy,0.733,0.998,0.733,-26.5,-26.5,0.99999,0.466,1.0,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,keep_only,3,freq_radial+color_manifold+hf_noise,zero_elsewhere,,Midjourney,2000,accuracy,0.7245,0.997,0.7245,-27.25,-27.25,0.99507,0.451,0.998,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,keep_only,3,freq_radial+color_manifold+hf_noise,zero_elsewhere,,Stable_Diffusion_v1.4,2000,accuracy,0.732,0.9985,0.732,-26.65,-26.65,0.999493,0.464,1.0,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,keep_only,3,freq_radial+color_manifold+hf_noise,zero_elsewhere,,VQDM,2000,accuracy,0.733,0.9975,0.733,-26.45,-26.45,0.999572,0.466,1.0,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,keep_only,3,freq_radial+color_manifold+hf_noise,zero_elsewhere,,Wukong,2000,accuracy,0.733,0.9945,0.733,-26.15,-26.15,0.998503,0.466,1.0,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,keep_only,3,freq_radial+color_manifold+hf_noise,zero_elsewhere,,__ALL__,14000,accuracy,0.729786,0.9975,0.729786,-26.771429,-26.771429,0.998592,0.459857,0.999714,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,drop,3,freq_radial+color_manifold+jpeg_quant,zero,,ADM,2000,accuracy,0.79,0.999,0.79,-20.9,-20.9,0.843948,0.7,0.88,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,drop,3,freq_radial+color_manifold+jpeg_quant,zero,,BigGAN,2000,accuracy,0.6515,0.998,0.6515,-34.65,-34.65,0.73479,0.71,0.593,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,drop,3,freq_radial+color_manifold+jpeg_quant,zero,,GLIDE,2000,accuracy,0.7645,0.998,0.7645,-23.35,-23.35,0.858744,0.684,0.845,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,drop,3,freq_radial+color_manifold+jpeg_quant,zero,,Midjourney,2000,accuracy,0.839,0.997,0.839,-15.8,-15.8,0.894272,0.73,0.948,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,drop,3,freq_radial+color_manifold+jpeg_quant,zero,,Stable_Diffusion_v1.4,2000,accuracy,0.7915,0.9985,0.7915,-20.7,-20.7,0.868982,0.682,0.901,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,drop,3,freq_radial+color_manifold+jpeg_quant,zero,,VQDM,2000,accuracy,0.5765,0.9975,0.5765,-42.1,-42.1,0.703253,0.684,0.469,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,drop,3,freq_radial+color_manifold+jpeg_quant,zero,,Wukong,2000,accuracy,0.8095,0.9945,0.8095,-18.5,-18.5,0.888114,0.684,0.935,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,drop,3,freq_radial+color_manifold+jpeg_quant,zero,,__ALL__,14000,accuracy,0.746071,0.9975,0.746071,-25.142857,-25.142857,0.827678,0.696286,0.795857,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,keep_only,3,freq_radial+color_manifold+jpeg_quant,zero_elsewhere,,ADM,2000,accuracy,0.7855,0.999,0.7855,-21.35,-21.35,0.999996,1.0,0.571,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,keep_only,3,freq_radial+color_manifold+jpeg_quant,zero_elsewhere,,BigGAN,2000,accuracy,0.9895,0.998,0.9895,-0.85,-0.85,1.0,1.0,0.979,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,keep_only,3,freq_radial+color_manifold+jpeg_quant,zero_elsewhere,,GLIDE,2000,accuracy,0.9985,0.998,0.9985,0.05,0.05,1.0,1.0,0.997,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,keep_only,3,freq_radial+color_manifold+jpeg_quant,zero_elsewhere,,Midjourney,2000,accuracy,0.725,0.997,0.725,-27.2,-27.2,0.998772,1.0,0.45,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,keep_only,3,freq_radial+color_manifold+jpeg_quant,zero_elsewhere,,Stable_Diffusion_v1.4,2000,accuracy,0.626,0.9985,0.626,-37.25,-37.25,0.999656,1.0,0.252,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,keep_only,3,freq_radial+color_manifold+jpeg_quant,zero_elsewhere,,VQDM,2000,accuracy,0.89,0.9975,0.89,-10.75,-10.75,0.999878,1.0,0.78,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,keep_only,3,freq_radial+color_manifold+jpeg_quant,zero_elsewhere,,Wukong,2000,accuracy,0.5965,0.9945,0.5965,-39.8,-39.8,0.998838,1.0,0.193,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,keep_only,3,freq_radial+color_manifold+jpeg_quant,zero_elsewhere,,__ALL__,14000,accuracy,0.801571,0.9975,0.801571,-19.592857,-19.592857,0.999598,1.0,0.603143,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,drop,3,freq_radial+color_manifold+texture_geometry,zero,,ADM,2000,accuracy,0.5,0.999,0.5,-49.9,-49.9,0.999454,1.0,0.0,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,drop,3,freq_radial+color_manifold+texture_geometry,zero,,BigGAN,2000,accuracy,0.5,0.998,0.5,-49.8,-49.8,0.999109,1.0,0.0,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,drop,3,freq_radial+color_manifold+texture_geometry,zero,,GLIDE,2000,accuracy,0.502,0.998,0.502,-49.6,-49.6,0.999974,1.0,0.004,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,drop,3,freq_radial+color_manifold+texture_geometry,zero,,Midjourney,2000,accuracy,0.5,0.997,0.5,-49.7,-49.7,0.998873,1.0,0.0,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,drop,3,freq_radial+color_manifold+texture_geometry,zero,,Stable_Diffusion_v1.4,2000,accuracy,0.5,0.9985,0.5,-49.85,-49.85,0.998979,1.0,0.0,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,drop,3,freq_radial+color_manifold+texture_geometry,zero,,VQDM,2000,accuracy,0.5,0.9975,0.5,-49.75,-49.75,0.998824,1.0,0.0,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,drop,3,freq_radial+color_manifold+texture_geometry,zero,,Wukong,2000,accuracy,0.5,0.9945,0.5,-49.45,-49.45,0.997747,1.0,0.0,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,drop,3,freq_radial+color_manifold+texture_geometry,zero,,__ALL__,14000,accuracy,0.500286,0.9975,0.500286,-49.721429,-49.721429,0.999016,1.0,0.000571,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,keep_only,3,freq_radial+color_manifold+texture_geometry,zero_elsewhere,,ADM,2000,accuracy,0.564,0.999,0.564,-43.5,-43.5,0.99971,0.128,1.0,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,keep_only,3,freq_radial+color_manifold+texture_geometry,zero_elsewhere,,BigGAN,2000,accuracy,0.5645,0.998,0.5645,-43.35,-43.35,0.999082,0.129,1.0,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,keep_only,3,freq_radial+color_manifold+texture_geometry,zero_elsewhere,,GLIDE,2000,accuracy,0.569,0.998,0.569,-42.9,-42.9,0.999824,0.138,1.0,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,keep_only,3,freq_radial+color_manifold+texture_geometry,zero_elsewhere,,Midjourney,2000,accuracy,0.571,0.997,0.571,-42.6,-42.6,0.995157,0.143,0.999,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,keep_only,3,freq_radial+color_manifold+texture_geometry,zero_elsewhere,,Stable_Diffusion_v1.4,2000,accuracy,0.568,0.9985,0.568,-43.05,-43.05,0.999266,0.136,1.0,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,keep_only,3,freq_radial+color_manifold+texture_geometry,zero_elsewhere,,VQDM,2000,accuracy,0.569,0.9975,0.569,-42.85,-42.85,0.999626,0.138,1.0,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,keep_only,3,freq_radial+color_manifold+texture_geometry,zero_elsewhere,,Wukong,2000,accuracy,0.569,0.9945,0.569,-42.55,-42.55,0.998429,0.138,1.0,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,keep_only,3,freq_radial+color_manifold+texture_geometry,zero_elsewhere,,__ALL__,14000,accuracy,0.567786,0.9975,0.567786,-42.971429,-42.971429,0.998729,0.135714,0.999857,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,drop,3,freq_radial+hf_noise+jpeg_quant,zero,,ADM,2000,accuracy,0.7875,0.999,0.7875,-21.15,-21.15,0.970347,0.575,1.0,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,drop,3,freq_radial+hf_noise+jpeg_quant,zero,,BigGAN,2000,accuracy,0.805,0.998,0.805,-19.3,-19.3,0.930487,0.61,1.0,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,drop,3,freq_radial+hf_noise+jpeg_quant,zero,,GLIDE,2000,accuracy,0.7995,0.998,0.7995,-19.85,-19.85,0.986028,0.599,1.0,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,drop,3,freq_radial+hf_noise+jpeg_quant,zero,,Midjourney,2000,accuracy,0.8095,0.997,0.8095,-18.75,-18.75,0.980748,0.619,1.0,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,drop,3,freq_radial+hf_noise+jpeg_quant,zero,,Stable_Diffusion_v1.4,2000,accuracy,0.799,0.9985,0.799,-19.95,-19.95,0.975429,0.598,1.0,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,drop,3,freq_radial+hf_noise+jpeg_quant,zero,,VQDM,2000,accuracy,0.7995,0.9975,0.7995,-19.8,-19.8,0.988143,0.599,1.0,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,drop,3,freq_radial+hf_noise+jpeg_quant,zero,,Wukong,2000,accuracy,0.799,0.9945,0.799,-19.55,-19.55,0.976221,0.599,0.999,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,drop,3,freq_radial+hf_noise+jpeg_quant,zero,,__ALL__,14000,accuracy,0.799857,0.9975,0.799857,-19.764286,-19.764286,0.97261,0.599857,0.999857,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,keep_only,3,freq_radial+hf_noise+jpeg_quant,zero_elsewhere,,ADM,2000,accuracy,0.541,0.999,0.541,-45.8,-45.8,0.999935,1.0,0.082,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,keep_only,3,freq_radial+hf_noise+jpeg_quant,zero_elsewhere,,BigGAN,2000,accuracy,0.7235,0.998,0.7235,-27.45,-27.45,1.0,1.0,0.447,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,keep_only,3,freq_radial+hf_noise+jpeg_quant,zero_elsewhere,,GLIDE,2000,accuracy,0.578,0.998,0.578,-42.0,-42.0,1.0,1.0,0.156,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,keep_only,3,freq_radial+hf_noise+jpeg_quant,zero_elsewhere,,Midjourney,2000,accuracy,0.5025,0.997,0.5025,-49.45,-49.45,0.998478,1.0,0.005,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,keep_only,3,freq_radial+hf_noise+jpeg_quant,zero_elsewhere,,Stable_Diffusion_v1.4,2000,accuracy,0.504,0.9985,0.504,-49.45,-49.45,0.999923,1.0,0.008,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,keep_only,3,freq_radial+hf_noise+jpeg_quant,zero_elsewhere,,VQDM,2000,accuracy,0.503,0.9975,0.503,-49.45,-49.45,0.999673,1.0,0.006,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,keep_only,3,freq_radial+hf_noise+jpeg_quant,zero_elsewhere,,Wukong,2000,accuracy,0.5015,0.9945,0.5015,-49.3,-49.3,0.999526,1.0,0.003,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,keep_only,3,freq_radial+hf_noise+jpeg_quant,zero_elsewhere,,__ALL__,14000,accuracy,0.5505,0.9975,0.5505,-44.7,-44.7,0.999653,1.0,0.101,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,drop,3,freq_radial+hf_noise+texture_geometry,zero,,ADM,2000,accuracy,0.5255,0.999,0.5255,-47.35,-47.35,0.999436,1.0,0.051,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,drop,3,freq_radial+hf_noise+texture_geometry,zero,,BigGAN,2000,accuracy,0.531,0.998,0.531,-46.7,-46.7,0.998851,1.0,0.062,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,drop,3,freq_radial+hf_noise+texture_geometry,zero,,GLIDE,2000,accuracy,0.8155,0.998,0.8155,-18.25,-18.25,0.99998,1.0,0.631,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,drop,3,freq_radial+hf_noise+texture_geometry,zero,,Midjourney,2000,accuracy,0.547,0.997,0.547,-45.0,-45.0,0.99882,1.0,0.094,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,drop,3,freq_radial+hf_noise+texture_geometry,zero,,Stable_Diffusion_v1.4,2000,accuracy,0.5,0.9985,0.5,-49.85,-49.85,0.99761,1.0,0.0,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,drop,3,freq_radial+hf_noise+texture_geometry,zero,,VQDM,2000,accuracy,0.5435,0.9975,0.5435,-45.4,-45.4,0.999259,1.0,0.087,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,drop,3,freq_radial+hf_noise+texture_geometry,zero,,Wukong,2000,accuracy,0.501,0.9945,0.501,-49.35,-49.35,0.994909,1.0,0.002,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,drop,3,freq_radial+hf_noise+texture_geometry,zero,,__ALL__,14000,accuracy,0.566214,0.9975,0.566214,-43.128571,-43.128571,0.998436,1.0,0.132429,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,keep_only,3,freq_radial+hf_noise+texture_geometry,zero_elsewhere,,ADM,2000,accuracy,0.662,0.999,0.662,-33.7,-33.7,0.985054,0.324,1.0,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,keep_only,3,freq_radial+hf_noise+texture_geometry,zero_elsewhere,,BigGAN,2000,accuracy,0.6535,0.998,0.6535,-34.45,-34.45,0.994123,0.307,1.0,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,keep_only,3,freq_radial+hf_noise+texture_geometry,zero_elsewhere,,GLIDE,2000,accuracy,0.648,0.998,0.648,-35.0,-35.0,0.901127,0.296,1.0,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,keep_only,3,freq_radial+hf_noise+texture_geometry,zero_elsewhere,,Midjourney,2000,accuracy,0.6695,0.997,0.6695,-32.75,-32.75,0.965892,0.342,0.997,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,keep_only,3,freq_radial+hf_noise+texture_geometry,zero_elsewhere,,Stable_Diffusion_v1.4,2000,accuracy,0.6485,0.9985,0.6485,-35.0,-35.0,0.989745,0.297,1.0,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,keep_only,3,freq_radial+hf_noise+texture_geometry,zero_elsewhere,,VQDM,2000,accuracy,0.648,0.9975,0.648,-34.95,-34.95,0.925158,0.296,1.0,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,keep_only,3,freq_radial+hf_noise+texture_geometry,zero_elsewhere,,Wukong,2000,accuracy,0.648,0.9945,0.648,-34.65,-34.65,0.987732,0.296,1.0,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,keep_only,3,freq_radial+hf_noise+texture_geometry,zero_elsewhere,,__ALL__,14000,accuracy,0.653929,0.9975,0.653929,-34.357143,-34.357143,0.964326,0.308286,0.999571,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,drop,3,freq_radial+jpeg_quant+texture_geometry,zero,,ADM,2000,accuracy,0.7375,0.999,0.7375,-26.15,-26.15,0.880379,0.849,0.626,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
Results\full_inference_dump.npz,42,drop,3,freq_radial+jpeg_quant+texture_geometry,zero,,BigGAN,2000,accuracy,0.662,0.998,0.662,-33.6,-33.6,0.85424,0.888,0.436,frozen_bottleneck_closed_form,audit_intervention_not_retraining,
